C Mezzadra,1er Congreso Internacional de Producción Animal especializado en Bovinos
JI Arroquy,1er Congreso Internacional de Producción Animal especializado en Bovinos
P Chemineau,1er Congreso Internacional de Producción Animal especializado en Bovinos
Mariana Garcia, Darren Henry, Tessa Schulmeister, Jefferson Benítez, Martin Ruiz Moreno, Jennifer Cuenca, Christian Ponce, Nicolás DiLorenzo,1er Congreso Internacional de Producción Animal especializado en Bovinos
DVM Decuadro-Hansen,1er Congreso Internacional de Producción Animal especializado en Bovinos
DVM Decuadro-Hansen,1er Congreso Internacional de Producción Animal especializado en Bovinos
JC Elizalde,1er Congreso Internacional de Producción Animal especializado en Bovinos
MA Brizuela, MS Cid, AF Cibils,1er Congreso Internacional de Producción Animal especializado en Bovinos
E Suharto, A Tello,9th SC@ RUG 2011
Villie Morocho, Andrea Morales, Ana Feijoo, Andrés Sarmiento, M Pilar Garcia-Almirall, Pau Queraltó Ros,"ACE: architecture, city and environment"
EF Zalamea, RH Garcia, R Sanchez Arriagada,ACE-ARCHITECTURE CITY AND ENVIRONMENT
LA D’Alessio, LG Gonzalez, RO Cáceres,ACI Avances en Ciencias e Ingenierías
LG Gonzalez, E Farfán, H Zamora,ACI Avances en Ciencias e Ingenierías
V. V. Sokolov, V. V. Tolmachev,Acoustical Physics
Olivia Erin Buenafe, Adriana Orellana-Paucar, Jan Maes, Hao Huang, Xuhui Ying, Wim De Borggraeve, Alexander D Crawford, Walter Luyten, Camila V Esguerra, Peter de Witte,ACS chemical neuroscience
A Cazar, M.E. Jara,Acta Horticulturae
María Milagros Cortezf R. Michael E. Parkhousea, Arturo Carpiob, Alfredo Campoverde, Patricia Sastred, Glenda Rojase,ACTA TROPICA
ME Siguencia Avila,Actas de la II Convencion Internacional de Ciencias Tecnicas
Guido Marcelo Pinos Abad, Verónica Patricia Pinos Vélez, Mireya del Pilar Palacios Cordero, Silvia Lucia López Alvarado, Jessica Ercilia Castillo Nuñez, William Alfredo Ortiz Ochoa, Elena Monserrath Jerves Hermida, Paul Enzlin,Actualidades Investigativas en Educación
VM Castano, JM Horta, JB Hernandez, L Marquez, M Perez,Advanced Composites Letters(UK)
V. V. Sazonov, V. V. Ulyanov,Advances in Applied Probability
AMRS ELNASHAI, BF SPENCER, DANA KUCHMA, G YANG, J CARRION, QUAN GAN, SUNG JIG KIM,Advances in Earthquake Engineering for Urban Risk Reduction
Karina Abad, Juan Pablo Carvallo, M Espinoza, V Saquicela,Advances in Intelligent Systems and Computing
L Campozano, R Célleri, K Trachte, J Bendix, E Samaniego,Advances in Meteorology
L Campozano, R Célleri, K Trachte, J Bendix, E Samaniego,Advances in Meteorology
L Campozano, D Tenelanda, E Sanchez, E Samaniego, J Feyen,Advances in Meteorology
A El-Sadek, RF Vázquez,Agricultural water management
VN M D’Apuzzo, A Evangelisti, GW Flintsch, E de L Izeppi, DE Mogrovejo,Airfield and Highway Pavements
M D’Apuzzo, A Evangelisti, GW Flintsch, EL Izeppi, DE Mogrovejo, V Nicolosi,Airfield and Highway Pavements
FA Martínez Moscoso,Alicante/Universidad de Alicante/
C Montúfar, L Herrera, M Unda,Alteridad
L Herrera,Alteridad
AB García,América Latina Hoy
J Maldonado, JP Carvallo, J Siguencia,Anais temporários do LACLO 2015
GERD DERCON, E Tacuri,Anales de la Universidad de Cuenca
D Orellana, P Osorio,Analitika
M Vélez C., P Vélez León,Analysis. Research Papers
M Vélez C., P Vélez León,Analysis. Research Papers
M Vélez C., P Vélez León,Analysis. Research Papers
J Fajardo, D Astudillo, K Palacio-Baus, L Solano-Quinde, S Wong,"ANDESCON, 2016 IEEE"
J Fajardo, D Astudillo, K Palacio-Baus, L Solano-Quinde, S Wong,"ANDESCON, 2016 IEEE"
R Medina, S Bautista, P Vanegas, V Morocho,"ANDESCON, 2016 IEEE"
L Herrera Montero,Ánfora
LA Abadia, ME Abadia, JA Abecia, L Abril-Parreño, PR Adona, LH Aguiar, AC Aguilera, E Akcay, W Al Al Sebli, JL Alabart, BCS Albuquerque, JVS Albuquerque, LG Albuquerque, Alcântara Junior NI, LF Alencar, E Al-Essawe, Alessio Valenza, P Alexandre, VAP Alfradique, L Allai, ARG Almeida, IC Almeida, J Almeida, Almeida Júnior AM, TG Almeida, AB Alvarenga, ML Alvarenga, PB Alvarenga, ÁM Alves, BG Alves, BRC Alves, KA Alves, MBR Alves, MF Alves, N Alves, NG Alves, CS Amaral, DA Ambríz-García, DR Ambrizi, GS Amiridis, NA Anache, AC Andrade, AFC Andrade, GM Andrade, JPN Andrade, JS Andrade, LRP Andrade-Junior, J Andreatta, MA Andreazzi, S Andries, DS Angrimani, K Annes, V Antane, AQ Antoniazzi, DC Antonino, DBA Antônio, Anzalone Da, FH Aono, CA Apodaca-Sarabia, JA Aranguren, EKN Arashiro, GHM Araujo, N Arcarons, D Argudo, MLL Arias, VHV Aristizabal, AM Arrais, I Arruda, LS Arruda, RP Arruda, IJ Ascari, MEOA Assumpção, PA Auler, C Aurich, Ávila ACFCM, M Avilés, HDM Ayala, PR Azevedo, A Baddi, S Bagés-Arnal, A Bagon, MFA Balaro, H Baldassarre, JCC Balieiro, AL Baltazar, C Banliat, DJ Barberini, RS Barberino, RP Barbero, FM Barbé-Tuana, B Barboni, CG Barbosa, LP Barbosa, JP Barbuio, G Barioni, TRR Barreiros, AENP Barreto, BAF Barros, CM Barros, PAM Barros,Animal Reproduction
DA Galarza, EE Valverde, ME Soria, DE Argudo, HP Bueno, MS Méndez, CU Iñiguez, RH Alberio,Animal Reproduction
MS Méndez, DA Galarza, DE Argudo, HP Bueno, CU Iņiguez, ME Soria, CS Torres, RH Alberio,Animal Reproduction
P Vanegas, D Cattrysse, A Wijffels, J Van Orshoven,Annals of Operations Research
M Perez,Anuario de Arte y Arquitectura. Volumen I
LG González, E Figueres, G Garcerá, O Carranza,Applied Energy
O Carranza, E Figueres, G Garcerá, LG Gonzalez,Applied Energy
LG González, G Garcerá, E Figueres, R González,Applied Energy
O Carranza, G Garcerá, E Figueres, LG González,Applied Energy
V. V. Osipov, V. V. Lisenkov, V. V. Platonov,Applied Physics B
A Abdal-hay, YS Oh, A Yousef, HR Pant, P Vanegas, JK Lim,Applied Surface Science
JM Mesa-Pérez, LAB Cortez, HR Marín-Mesa, JD Rocha, MR Peláez-Samaniego, Esther Cascarosa,Applied Thermal Engineering
M Córdova, G Carrillo, R Célleri,Aqua-LAC
M Córdova, G Carrillo, R Célleri,Aqua-LAC
A Bücker, P Crespo, HG Frede, K Vaché, F Cisneros, L Breuer,Aquatic geochemistry
M Córdova, R Célleri, CJ Shellito, J Orellana-Alvear, A Abril, G Carrillo-Rojas,"Arctic, Antarctic, and Alpine Research"
M Córdova, R Célleri, CJ Shellito, J Orellana-Alvear, A Abril, G Carrillo-Rojas,"Arctic, Antarctic, and Alpine Research"
MA Novillo Verdugo,Arqueología Iberoamericana
MA Novillo Verdugo, JC Astudillo Sarmiento,Arqueología Iberoamericana
MA Novillo Verdugo, R Esparza Lopez,Arqueología Iberoamericana
Miguel Angel Novillo Verdugo, Rodrigo Esparza Lopez, Avto Goguitchaichvili, Juan Morales, Miguel Cervantes Solano,Arqueología Iberoamericana
MÁ Novillo Verdugo,Arqueología Iberoamericana
MÁ Novillo Verdugo, R Esparza López,Arqueología Iberoamericana
MÁ Novillo-Verdugo, JC Astudillo-Sarmiento,Arqueología Iberoamericana
Miguel Ángel Novillo Verdugo, Rodrigo Esparza López, Avto Goguitchaichvili, Juan Morales, Miguel Cervantes Solano,Arqueología Iberoamericana
MÁN Verdugo, JPV Díaz,ArqueoWeb
E Zalamea León, R García Alvarado,Arquitectura y Urbanismo
A Hermida, V Mogrovejo,Arquitecturas del Sur
A Serrano, F Quesada, ML Catalán, VG Mena, DO Valdez,ASRI: Arte y sociedad. Revista de investigación
A Serrano, FQ Molina, ML Catalán, VG Mena, DO Valdez,ASRI: Arte y sociedad. Revista de investigación
DI Vintimilla,ASRI: Arte y sociedad. Revista de investigación
JR Pérez, SM Cordero,ASRI: Arte y sociedad. Revista de investigación
M Pérez,ASRI: Arte y sociedad. Revista de investigación
V. V. Korol'ov, V. V. Levy,Astronomical & Astrophysical Transactions
D Achig,Ateneo
D Achig, E Contento,Ateneo
D Achig, M Masapanta, A Pulla,Ateneo
D Achig, M Rivas,Ateneo
D Achig, R Rojas, A Angulo, Y Contento, Esther, Cabrera,Ateneo
Y Zhang, D Achig,Ateneo
V. V. Dudorov, V. V. Kolosov,Atmospheric and Oceanic Optics
V. V. Pankajalakshmi, V. V. Taralakshmi,Australasian Journal of Dermatology
L Siguenza Guzman,Bélgica/Universidad de KU Leuven/
TL Ho, T Pham Duy, W Van Echelpoel, A Alvarado, P Goethals,Belmundo Water Talk
AL Borrero, A Luz,Bibliotéca de geografıa ecuatoriana
MR Pelaez-Samaniego, V Yadama, M Garcia-Perez, E Lowell,Biomass and Bioenergy
EL Manuel Raul Pelaez-Samaniego, Vikram Yadama, Manuel Garcia-Perez,Biomass and Bioenergy
GP Ferraz, C Frear, MR Pelaez-Samaniego, K Englund, M Garcia-Perez,BioResources
Natasha Eulalia Cabrera-Jara, María Augusta Hermida-Palacios, Daniel Augusto Orellana-Vintimilla, Pablo Enrique Osorio-Guerrero,Bitácora Urbano Territorial
NE Cabrera, D Orellana, MA Hermida, PE Osorio,Bitácora Urbano Territorial
O Jadán, M Cifuentes, B Torres, D Selesi, D Veintimilla, S Günter,BOIS & FORETS DES TROPIQUES
O Jadán, M Cifuentes, B Torres, D Selesi, D Veintimilla, S Gunter,Bois et Forets des Tropiques
Oswaldo Jadan, Cristian Toledo, Braulio Tepan, Hugo Cedillo, Angel Peralta, Pedro Zea, Patricio Castro, Carlos Vaca,BOSQUE
Oswaldo Jadán, Cristian Toledo, Braulio Tepán, Hugo Cedillo, Ángel Peralta, Pedro Zea, Patricio Castro, Carlos Vaca,Bosque (Valdivia)
O Jadán, H Cedillo, P Zea, P Quichimbo, Á Peralta, C Vaca,Bosques Latitud Cero
Wilson Quizhpe, Dario Veintimilla, Zhofre Aguirre, Nelson Jaramillo, Edwin Pacheco, Raúl Vanegas, Oswaldo Jadán,Bosques Latitud Cero
O Jadán, D Veintimilla, E Ponce, M González, K Waise, Z Aguirre,Bosques Latitud Cero
O Jadán, W Quizhpe, E Pacheco, Z Aguirre,Bosques Latitud Cero
Lorenzo Melchor, Laura Paula Saucedo-Cuevas, Iván Muñoz-Repeto, Socorro María Rodríguez-Pinilla, Emiliano Honrado, Alfredo Campoverde, Jose Palacios, Katherine L Nathanson, María José García, Javier Benítez,"Breast cancer research 11 (6), R"
V. V. Mikhailov, V. V. Korolev,Bulletin of Experimental Biology and Medicine
V. V. Eliseev, V. V. Khudolei,Bulletin of Experimental Biology and Medicine
V. V. Mikhailov, V. V. Morrison,Bulletin of Experimental Biology and Medicine
V. V. Mikhailov, V. V. Morrison,Bulletin of Experimental Biology and Medicine
V. V. Myasnikova, V. V. Ponomarev,Bulletin of Experimental Biology and Medicine
V. V. Zhukov, V. V. Serpinskii,Bulletin of the Academy of Sciences of the USSR Division of Chemical Science
V. V. Fedorova, V. V. Kharitonov,Bulletin of the Academy of Sciences of the USSR Division of Chemical Science
J Bendix, A Fries, J Zárate, K Trachte, R Rollenbeck, F Pucha-Cofrep, R Paladines, I Palacios, J Orellana, F Oñate-Valdivieso, C Naranjo, L Mendoza, D Mejia, M Guallpa, F Gordillo, V Gonzalez-Jaramillo, M Dobbermann, R Célleri, Carlos Carrillo, Augusto Araque, Sebastian Achilles,Bulletin of the American Meteorological Society
V. V. Lomakin, V. V. Tomchik,Bulletin of the Russian Academy of Sciences: Physics
MO Bravo, RM Muñoz, PB Romero, M Raileanu-Szeles,Bulletin of the Transilvania University of Brasov. Economic Sciences. Series …
RM Muñoz, M Raileanu-Szeles, PB Romero, JAP Peña,Bulletin of the Transilvania University of Brasov. Economic Sciences. Series …
Mercy ORELLANA BRAVO, Rodrigo MENDIETA MUÑOZ, Pablo BELTRÁN ROMERO, Monica RĂILEANU-SZELES,Bulletin of the Transilvania University of Brasov. Series V: Economic …
Rodrigo MENDIETA MUÑOZ, Monica RĂILEANU-SZELES, Pablo BELTRÁN ROMERO, Juan Andrés PIEDRA PEÑA,Bulletin of the Transilvania University of Brasov. Series V: Economic …
AM Moscoso, JTV Silva,Cadernos de Dereito Actual
LH Montero,Cambios de las culturas. Ingeniería cultural y pedagogía
Lorenzo Melchor, Maria Garcia, Socorro Maria Rodriguez-Pinilla, Ricardo Ramires, Emiliano Honrado, Alfredo Campoverde, Ana Osorio, Katherine Nathanson, Javier Benitez,Cancer Research 68 (9 Supplement)
A David,"Casa de la Cultura Ecuatoriana, núcleo del Azuay"
G Mosquera, PX Lazo, R Célleri, BP Wilcox, P Crespo,Catena
G Mosquera, PX Lazo, R Célleri, BP Wilcox, P Crespo,Catena
G Mosquera, PX Lazo, R Célleri, BP Wilcox, P Crespo,Catena
DAT Ortiz, LG Gonzalez, O Carranza, RG Baculima,"Central American and Panama Convention (CONCAPAN XXXVI), 2016 IEEE 36th"
J Martínez Borrero,Chasqui. Revista Latinoamericana de Comunicación
J Martínez Borrero,Chasqui. Revista Latinoamericana de Comunicación
J Martínez Borrero,Chasqui. Revista Latinoamericana de Comunicación
J Martínez Borrero,Chasqui. Revista Latinoamericana de Comunicación
JM Borrero,Chasqui. Revista Latinoamericana de Comunicación
JM Borrero,Chasqui. Revista Latinoamericana de Comunicación
MA Vintimilla,Chasqui. Revista Latinoamericana de Comunicación
V. V. Shestopalov, V. V. Men'shikov, V. V. Kafarov,Chemical and Petroleum Engineering
Bjorge Decostere, Natascha Janssens, Andres Alvarado, Thomas Maere, Peter Goethals, Stijn W.H.Van Hulle, Ingmar Nopens,Chemical Engineering Journal
